from,to,amount
987,710,821
232,471,20
155,618,28
885,430,680
35,54,454
498,640,24
586,228,459
248,355,632
316,33,822
425,938,403
20,551,356
370,296,507
448,296,986
595,532,99
212,40,142
483,301,57
66,129,557
627,190,535
368,947,905
499,525,201
14,358,205
389,724,549
25,253,784
776,514,691
882,664,829
187,245,433
129,934,84
54,957,622
673,520,293
754,794,398
824,748,104
491,551,470
869,429,954
665,244,41
192,156,174
484,550,477
725,452,797
288,297,498
572,69,245
910,963,384
598,884,344
707,182,527
305,841,397
327,647,749
372,319,884
696,944,795
688,469,966
876,622,227
978,301,245
525,80,813
447,958,724
263,662,678
311,818,224
823,800,122
522,854,935
384,284,333
610,867,16
88,523,929
374,256,682
115,404,818
761,263,417
490,117,888
440,496,570
66,91,281
724,319,34
210,255,980
364,360,803
600,550,594
931,804,332
467,243,219
163,119,504
580,966,188
382,209,725
217,73,738
291,676,640
987,606,31
297,420,606
967,79,611
141,118,308
474,502,9
234,300,248
648,251,223
940,683,573
954,152,646
368,432,914
37,481,795
710,471,921
508,949,692
839,553,862
515,669,48
178,548,662
987,847,86
254,884,451
467,380,935
752,520,64
111,775,306
209,577,230
662,381,19
312,652,348
301,445,600
963,568,403
966,68,385
658,991,770
612,994,926
620,846,231
456,53,952
146,811,294
557,926,256
149,348,874
892,709,877
889,748,165
927,957,952
827,371,350
10,843,340
882,590,318
466,314,862
924,970,664
43,153,20
444,370,848
169,221,717
544,630,749
612,925,127
136,766,376
182,542,552
320,246,967
471,832,208
17,525,779
504,37,750
21,870,90
952,650,139
993,274,45
474,926,670
746,935,657
152,25,867
136,593,751
924,897,708
342,685,583
88,790,785
58,555,118
681,771,499
252,596,155
751,959,621
839,503,851
386,201,694
402,974,793
537,571,455
282,967,629
279,411,389
490,410,13
277,497,882
41,934,355
104,804,260
216,776,110
340,336,102
919,102,708
178,340,404
98,920,807
325,246,419
350,610,815
122,206,45
185,106,479
949,115,152
816,94,859
11,75,204
342,584,459
94,579,914
960,200,177
790,645,750
291,310,45
606,307,818
909,149,440
494,407,421
622,472,846
659,918,869
76,41,644
695,470,407
894,248,749
450,808,696
278,58,95
954,965,768
901,435,489
550,270,685
356,438,98
244,411,87
577,189,648
694,143,679
353,709,17
274,926,494
69,381,161
916,24,321
65,101,672
956,950,246
306,326,850
794,828,843
445,67,493
132,486,624
824,581,416
821,484,195
52,680,616
525,928,743
901,526,465
325,365,234
776,334,601
218,631,296
597,644,828
747,860,622
687,781,296
56,707,226
725,525,675
330,457,599
380,593,341
516,515,540
894,115,382
831,341,844
755,2,721
412,628,559
939,310,468
50,602,902
406,577,967
634,703,613
791,299,49
635,533,319
763,297,38
96,176,977
5,772,912
277,627,920
911,505,634
230,583,67
980,678,217
108,164,505
116,402,650
915,616,641
623,551,351
521,368,67
476,898,831
139,907,807
74,960,90
395,493,602
111,808,728
866,764,903
4,270,20
476,462,612
14,794,883
771,34,59
810,846,830
54,521,552
482,107,193
998,126,931
584,344,34
35,634,190
435,179,257
128,579,835
101,897,527
516,454,550
899,203,922
728,606,13
867,391,470
460,616,44
548,264,135
578,952,640
965,539,457
605,290,951
204,226,747
514,694,953
576,200,395
668,601,484
535,701,749
225,357,927
865,210,496
379,168,814
1,68,252
888,319,988
976,618,759
33,588,63
325,655,74
938,205,473
398,115,300
96,291,425
226,927,733
57,450,573
239,358,825
346,431,292
33,274,271
796,117,399
291,432,143
475,544,505
232,844,854
550,981,292
585,647,205
715,873,163
792,628,775
232,653,339
952,810,361
266,969,438
674,859,479
890,531,583
525,864,693
655,619,841
805,121,222
214,382,913
820,123,611
958,236,3
101,264,266
119,100,406
112,545,986
543,878,476
244,28,106
834,407,854
442,265,353
638,999,642
596,895,86
604,787,788
283,531,599
43,357,504
805,856,886
185,240,487
883,853,119
494,949,322
227,5,159
766,933,317
385,686,620
894,248,388
519,530,637
585,589,496
253,769,718
702,292,856
922,374,308
61,663,119
245,249,95
615,599,724
470,2,858
62,615,940
69,327,31
612,34,227
636,938,368
231,993,555
720,996,833
80,415,707
767,722,836
146,837,224
513,489,158
111,663,215
604,549,293
350,11,546
233,475,18
899,82,705
977,213,443
360,589,311
639,962,501
894,141,696
300,608,441
437,595,933
523,629,893
742,538,178
447,432,414
290,609,803
15,875,114
981,90,778
734,736,957
872,675,541
359,185,971
46,689,327
556,830,494
418,498,935
147,250,653
576,133,634
318,811,476
428,526,272
812,581,24
525,774,192
908,839,369
3,399,564
605,289,170
116,619,989
266,32,676
343,660,624
411,557,933
947,747,16
80,718,94
937,777,537
646,291,859
876,12,725
292,296,133
704,782,36
540,991,641
841,571,274
781,246,858
413,194,939
514,605,397
304,318,205
318,365,299
42,63,988
490,701,340
106,692,439
75,489,19
441,250,579
760,203,547
183,68,727
993,598,652
503,966,577
195,546,144
260,267,570
977,384,169
559,584,588
584,119,217
15,694,257
33,402,301
362,740,626
51,382,853
895,873,971
660,219,332
995,742,148
127,148,797
561,578,114
867,972,790
425,665,267
598,996,350
356,577,773
681,729,169
202,649,314
621,155,39
531,737,507
110,906,230
457,137,679
109,349,13
894,898,760
227,565,198
165,894,45
246,327,644
700,827,730
865,570,394
490,688,313
815,334,17
982,188,876
716,81,480
543,819,492
467,466,114
86,63,749
35,675,171
801,422,699
189,75,996
821,947,527
251,326,279
84,602,442
862,752,346
386,158,295
747,276,496
367,611,325
224,678,288
733,645,291
740,118,769
241,434,760
580,340,599
346,809,95
223,97,300
541,642,434
765,557,16
797,374,773
929,366,561
617,553,706
499,456,485
441,248,504
967,940,502
930,552,517
342,75,778
153,137,101
338,273,513
970,952,456
312,976,131
942,630,573
910,686,730
10,910,353
195,662,745
77,639,628
946,834,617
468,59,947
760,122,76
406,131,711
679,890,498
207,751,884
853,876,834
899,836,620
486,989,974
582,517,304
526,107,979
692,478,335
764,65,790
365,166,300
771,858,944
553,643,647
527,46,311
720,797,490
815,215,325
764,148,183
508,340,14
465,212,894
845,263,486
680,965,70
341,262,461
228,300,304
875,23,152
910,354,17
431,690,392
147,626,556
967,733,962
721,246,160
297,448,447
332,407,351
541,516,906
831,234,320
53,260,947
989,389,841
665,425,429
571,377,321
481,843,367
405,675,250
189,129,310
957,570,771
481,419,256
135,690,756
829,149,799
413,695,185
432,440,69
152,332,529
58,969,906
154,506,463
407,785,360
529,485,177
683,185,635
483,308,193
27,773,210
663,534,927
157,842,940
974,929,403
38,64,792
266,600,322
893,940,847
472,381,137
649,793,39
766,207,231
395,614,332
791,932,162
706,168,902
183,242,658
763,749,469
730,174,951
824,993,249
459,581,831
901,592,701
42,772,594
310,669,767
188,97,756
558,882,976
832,605,919
343,98,591
38,53,731
539,987,394
376,799,963
793,63,289
576,332,698
703,329,104
460,405,380
58,398,765
649,77,186
906,192,998
729,121,467
750,294,937
749,935,728
526,10,240
52,662,551
943,699,579
563,357,756
771,127,933
317,641,440
87,368,203
93,568,292
937,76,661
446,261,162
830,397,214
285,584,807
140,998,462
705,85,872
160,278,107
889,558,690
182,18,570
578,772,543
914,88,810
158,323,837
552,509,238
789,248,135
164,358,223
128,747,146
555,667,432
968,220,466
948,513,277
823,900,784
287,744,572
136,225,139
994,839,430
192,505,342
622,339,973
118,597,434
602,712,969
756,544,965
169,361,195
904,846,37
540,442,515
795,977,593
684,301,91
339,702,294
300,263,72
766,79,213
485,413,281
404,33,280
438,633,490
432,597,760
830,801,712
633,524,646
811,904,538
440,983,49
321,476,234
360,495,428
61,246,343
646,533,99
528,305,30
169,467,962
478,829,764
709,607,17
36,387,929
229,470,971
140,240,951
349,818,79
68,877,152
9,972,465
532,124,353
441,488,870
497,853,79
996,200,760
198,462,301
156,659,277
360,579,962
254,444,51
173,609,546
296,137,78
667,92,471
46,46,588
765,554,312
943,579,407
634,851,460
440,522,542
747,317,726
272,573,350
196,225,13
454,338,220
709,152,168
282,158,176
882,538,878
1,756,63
304,585,940
890,694,915
707,812,204
757,802,69
748,363,985
308,608,151
790,759,792
459,224,746
856,931,273
787,157,955
604,905,944
167,161,656
222,311,503
226,416,918
785,480,420
471,18,285
963,588,909
770,776,92
884,566,539
484,283,280
6,718,978
108,321,659
164,153,605
401,681,574
611,167,95
736,334,542
620,332,802
823,192,324
846,706,764
664,486,454
146,101,721
960,163,872
951,170,362
370,566,841
797,156,670
728,453,670
32,749,452
185,399,954
655,306,996
525,349,440
216,459,224
164,483,75
953,750,475
79,524,774
241,94,626
143,428,938
14,443,87
542,664,708
7,984,659
976,127,219
0,103,647
925,836,426
944,790,346
892,0,337
375,282,878
44,672,359
492,274,709
583,559,642
961,443,463
750,797,169
802,220,360
423,557,713
962,229,265
631,55,991
613,815,829
91,59,181
616,848,40
943,149,541
659,8,795
80,299,319
968,289,389
523,712,517
719,33,630
466,295,458
320,267,447
38,313,753
168,396,715
511,641,123
283,872,495
411,506,687
352,748,905
237,717,125
807,307,101
460,616,221
464,693,810
124,885,836
626,693,113
557,994,24
395,236,396
409,794,661
359,130,883
183,600,388
495,292,30
271,595,812
70,259,784
830,165,395
174,330,955
786,984,205
78,774,242
433,215,716
937,48,401
833,447,77
429,66,505
225,3,465
357,121,703
151,105,288
798,791,802
63,836,586
326,935,6
112,248,438
536,585,380
342,731,702
533,408,600
414,410,131
572,537,722
668,136,362
814,452,343
825,848,427
145,634,810
756,780,577
540,665,986
947,656,421
984,908,263
530,891,155
312,853,475
681,206,826
822,26,857
599,840,578
969,440,463
575,232,926
462,207,213
543,776,101
598,884,196
69,605,659
713,598,199
495,533,587
860,978,961
248,246,591
276,357,610
443,922,107
941,173,876
364,278,470
645,628,54
165,547,30
409,833,329
354,707,876
232,400,840
175,206,677
393,71,591
975,124,783
601,18,957
128,668,872
455,181,982
121,110,370
234,239,201
623,446,495
929,366,865
235,448,222
856,15,583
66,347,247
732,366,393
567,664,742
964,68,88
200,244,215
329,135,340
751,303,77
86,347,958
509,235,81
709,85,800
978,230,832
187,836,350
405,747,81
743,687,484
972,732,6
50,515,52
640,611,621
972,492,99
186,659,281
148,390,571
310,30,661
82,583,413
481,329,878
779,426,179
455,168,149
35,423,369
515,752,249
164,75,998
407,726,933
733,882,19
201,388,739
534,181,706
324,430,242
440,235,751
697,717,167
503,504,691
640,27,538
39,474,480
543,881,700
23,9,989
126,631,367
464,335,828
539,273,483
306,460,422
167,242,928
584,600,705
720,845,456
31,596,578
231,632,612
825,744,83
66,65,370
259,215,201
923,739,345
591,790,490
63,584,566
333,403,638
28,592,237
109,770,367
849,311,988
285,195,237
565,699,666
496,86,408
336,824,800
867,351,561
871,88,613
62,763,294
90,783,674
28,487,621
776,8,971
65,643,430
951,650,856
610,606,264
896,697,966
549,659,751
324,271,916
366,748,694
718,495,598
561,334,535
354,138,555
442,827,211
732,462,470
68,651,51
711,418,419
945,233,615
641,829,985
154,619,971
43,335,945
835,671,688
354,297,205
136,456,529
594,999,640
165,176,672
798,456,14
179,36,682
708,576,271
101,339,2
671,80,380
637,881,112
206,988,139
936,366,915
327,197,462
453,218,458
749,469,114
44,306,972
783,950,161
920,551,950
295,534,281
0,823,471
962,698,153
641,893,723
846,656,975
323,678,607
436,978,710
345,644,109
819,899,302
885,830,641
54,701,707
306,753,604
577,607,43
785,498,68
63,336,690
21,887,762
37,817,293
793,132,322
251,910,633
131,580,9
926,335,47
28,207,837
466,753,437
305,577,713
414,449,356
229,302,81
546,888,23
108,404,391
518,381,17
580,691,942
31,145,359
828,447,770
866,605,1000
481,950,198
257,992,722
843,400,555
30,499,459
683,543,170
243,640,827
365,964,152
162,360,827
459,263,414
692,972,299
221,464,111
589,364,168
218,217,851
939,793,842
976,892,344
181,433,968
548,131,55
633,780,457
695,440,435
810,779,803
176,462,559
338,124,991
561,209,542
126,220,23
201,326,230
392,132,252
728,193,915
336,179,318
930,531,428
821,143,23
278,488,984
761,262,347
467,575,545
384,368,46
862,562,956
154,53,559
115,786,131
161,450,325
141,459,410
576,73,318
302,537,407
770,370,90
99,931,521
234,759,131
797,574,114
661,511,104
472,918,770
603,590,814
169,284,287
687,379,943
446,642,731
210,438,585
609,871,281
139,503,154
990,138,91
156,879,381
896,266,451
816,613,787
401,75,614
828,509,846
363,706,715
782,527,290
113,768,316
35,211,951
371,630,442
446,864,573
276,723,830
64,299,224
764,75,719
909,912,749
923,906,937
398,818,57
156,362,701
19,569,524
243,217,638
946,237,378
41,575,590
214,799,809
743,83,782
251,562,436
106,119,30
569,266,618
369,793,785
873,46,979
870,89,637
538,787,588
361,543,391
898,426,324
758,417,281
94,688,299
343,872,42
994,363,245
498,231,483
346,412,254
950,553,675
728,301,604
431,519,698
362,414,792
486,371,34
828,16,809
819,223,439
879,939,970
335,397,49
803,84,823
27,379,710
696,691,717
4,246,640
713,505,852
790,193,360
665,611,925
769,389,516
320,360,107
436,431,360
422,590,151
855,127,444
180,136,832
312,366,209
198,3,404
983,816,576
810,504,705
707,152,669
684,882,106
837,630,343
280,200,555
106,190,446
12,593,646
578,791,68
753,413,774
834,7,507
529,303,508
643,892,521
955,749,232
806,472,68
870,579,53
724,461,234
246,692,153
538,272,298
227,688,440
698,225,894
128,487,722
883,797,492
469,709,29
566,459,927
726,885,188
263,735,598
133,203,520
795,812,933
267,370,828
939,889,217
124,801,493
788,810,201
215,858,997
791,208,593
507,524,961
225,955,968
707,150,136
193,491,569
732,173,438
755,633,590
525,613,66
295,913,13
582,580,46
460,811,834
974,465,992
360,527,616
495,155,133
533,231,326
587,970,282
955,191,522
965,849,891
320,799,547
874,100,587
796,210,542
392,932,382
265,384,678
247,288,574
643,39,310
459,160,542
794,985,147
112,138,684
319,504,952
193,967,544
239,419,786
373,835,740
92,707,628
137,192,548
69,812,819
537,638,576
121,530,46
215,456,467
450,767,447
906,684,232
704,747,218
473,468,40
225,530,287
773,799,959
275,397,956
2,741,415
261,992,614
470,106,214
500,886,970
918,976,646
457,35,672
111,753,807
486,616,231
268,543,92
284,228,369
418,545,513
54,663,625
820,396,442
551,155,633
574,851,693
927,762,417
445,665,63
517,832,183
397,227,456
415,690,716
326,642,823
327,508,284
844,877,602
949,221,583
439,388,244
748,999,855
556,405,404
618,309,328
504,317,425
482,274,205
951,721,669
311,705,328
499,541,867
715,107,253
486,154,954
849,857,330
571,18,198
734,551,249
800,120,392
350,179,430
687,611,395
158,785,959
927,349,167
626,228,224
794,330,5
561,205,100
446,695,749
504,530,367
3,397,662
8,96,340
181,398,146
624,355,212
689,630,777
354,513,348
387,938,152
227,551,155
379,512,96
665,289,195
11,833,718
222,353,389
158,793,971
952,203,868
805,218,247
292,747,267
826,752,4
165,886,732
88,258,869
440,308,183
161,297,91
167,387,251
635,951,384
597,141,853
311,230,326
300,974,371
947,907,633
658,976,405
369,23,996
843,485,930
48,287,43
681,759,439
318,411,656
35,870,586
814,572,881
236,160,506
916,453,557
24,301,981
141,56,343
261,370,482
967,864,829
991,285,613
466,733,470
30,85,81
390,384,790
595,355,943
83,560,29
717,246,595
197,411,456
800,223,273
158,898,798
300,735,986
207,106,254
723,496,452
879,758,834
464,92,453
135,955,706
838,837,534
866,663,271
998,711,33
81,637,680
729,901,509
967,556,526
983,477,56
183,116,265
14,616,748
841,894,773
615,788,581
849,205,164
963,658,913
30,474,79
693,76,401
615,288,709
787,663,584
870,894,710
713,920,421
282,119,643
266,326,325
842,167,879
710,94,666
70,208,899
853,653,200
408,447,960
530,838,742
386,300,750
531,920,359
885,198,848
752,975,603
734,871,904
261,693,418
224,125,39
220,81,315
251,24,771
877,796,392
955,610,166
240,140,324
395,8,276
581,124,397
372,117,143
132,928,662
135,412,778
251,777,622
692,624,183
714,908,234
591,463,924
30,845,175
762,285,78
216,47,788
837,232,759
366,893,240
270,192,217
999,602,241
784,9,641
184,940,251
780,594,960
194,181,617
394,666,335
555,733,118
326,905,4
351,983,398
549,403,739
783,371,933
708,821,226
773,370,780
661,572,669
899,973,317
136,76,676
226,597,206
818,333,111
807,968,891
507,305,948
242,510,331
504,51,276
262,530,269
348,729,789
697,514,122
481,959,23
130,317,223
237,294,510
840,628,241
576,871,700
794,739,516
365,126,786
386,467,254
479,879,616
43,126,205
723,191,705
175,627,226
497,29,847
650,277,222
115,108,883
321,203,936
152,470,698
937,459,838
847,294,834
845,334,536
944,255,303
789,790,464
533,582,358
117,760,475
392,306,201
435,716,756
980,226,740
992,403,981
242,647,773
856,834,446
947,294,641
243,587,901
289,797,489
632,737,515
513,434,790
855,839,641
703,61,139
949,15,123
951,694,975
597,941,179
411,478,749
641,387,291
458,941,675
766,339,39
587,559,473
761,211,477
696,612,309
959,706,128
57,611,671
766,692,760
961,831,412
666,62,634
644,903,513
90,103,637
87,142,721
276,611,872
802,874,650
568,58,734
666,39,170
429,651,1000
656,59,363
241,362,645
356,291,383
780,96,483
954,683,862
556,25,332
94,796,572
726,344,28
955,359,461
832,231,457
376,996,456
636,809,889
685,549,324
74,253,864
872,779,300
458,603,410
652,943,989
812,820,602
666,552,768
253,147,813
143,179,323
508,792,776
76,826,866
336,823,146
187,313,13
213,697,847
957,908,15
502,476,459
609,391,925
392,812,865
305,429,74
824,405,407
184,319,913
688,73,361
185,200,338
365,89,398
625,692,772
963,954,395
113,933,499
872,29,60
405,890,424
559,944,750
984,950,811
292,333,62
771,133,299
612,118,22
426,69,352
22,920,623
134,765,140
157,848,310
626,396,737
539,904,117
526,171,727
363,181,836
138,232,325
22,105,433
867,740,962
723,356,189
806,10,292
200,451,435
667,935,101
339,38,897
620,663,457
615,658,720
188,533,757
565,221,2
297,872,556
185,494,5
39,972,562
361,136,218
50,354,163
91,279,620
648,757,260
631,715,81
415,82,343
995,719,700
343,789,557
768,730,59
836,757,509
243,667,469
345,497,74
192,4,49
956,425,556
570,165,944
840,401,793
159,42,201
596,15,22
174,742,276
660,200,137
487,343,477
186,593,820
242,181,259
323,141,211
302,513,534
423,751,610
997,58,774
236,135,718
13,432,610
187,363,837
432,432,562
866,182,287
801,709,761
712,865,868
648,920,952
922,607,224
874,825,53
995,203,227
943,577,381
671,90,600
44,106,222
479,518,556
280,990,716
132,0,358
688,398,230
380,687,473
170,512,817
376,739,316
610,398,464
920,127,139
630,194,542
131,946,377
547,841,237
729,180,218
632,473,323
385,800,852
370,31,204
953,980,122
42,709,316
314,324,39
622,719,535
835,370,892
986,386,536
524,255,300
761,686,87
750,808,53
736,76,618
414,704,327
218,652,698
989,879,894
184,617,86
195,780,411
142,945,18
826,232,857
789,841,145
409,66,226
300,770,950
412,623,292
806,504,243
590,230,964
992,154,220
296,192,378
210,651,264
667,112,116
387,329,435
445,566,679
819,19,136
449,122,752
824,540,266
27,504,170
808,110,802
974,62,94
153,980,708
568,864,906
116,539,358
152,607,726
772,529,654
949,329,467
399,375,551
479,562,982
279,697,853
466,789,287
160,52,820
529,635,365
271,892,983
44,762,377
236,36,965
517,966,183
937,898,728
665,671,234
739,296,313
619,724,797
845,854,25
441,3,810
181,941,28
307,237,314
193,289,921
580,163,976
649,111,645
602,263,17
481,946,362
790,887,810
759,533,588
129,369,756
64,419,423
468,776,706
697,405,522
738,898,568
399,819,66
668,766,866
420,605,870
885,412,461
233,677,803
590,646,390
235,50,607
548,174,557
51,183,174
157,900,63
974,468,757
600,784,845
21,45,207
195,740,85
690,745,96
405,843,64
25,281,902
894,804,241
240,107,590
334,934,26
968,945,292
614,18,364
568,944,26
449,750,571
352,142,535
517,195,609
300,207,875
312,486,585
193,745,627
213,177,904
89,932,779
517,226,88
852,545,418
473,125,407
293,451,204
111,254,743
340,61,670
945,450,130
630,220,945
106,683,522
857,874,251
304,852,649
113,640,737
855,463,112
781,451,486
229,498,682
515,104,63
585,313,608
469,711,796
270,462,902
62,873,794
339,224,935
572,849,488
562,304,437
903,294,661
995,818,947
3,668,467
527,193,865
698,237,597
501,553,108
675,619,167
752,840,764
517,108,478
678,409,74
143,630,296
318,946,699
794,354,43
924,995,772
477,912,672
255,45,246
909,732,991
65,17,259
401,782,403
291,541,521
141,252,366
894,734,706
742,464,957
75,456,64
198,159,942
581,587,969
501,534,472
562,436,649
647,598,404
287,708,931
777,394,888
167,622,103
527,411,360
556,456,60
917,10,708
733,307,531
67,417,304
273,5,627
561,135,908
25,769,268
891,884,418
25,534,717
326,851,440
695,980,605
373,234,782
861,742,697
112,378,276
359,593,126
16,839,682
831,897,814
390,753,268
325,215,284
131,756,665
949,452,629
803,324,715
585,806,971
938,180,216
967,347,401
106,577,818
489,568,794
32,654,156
430,590,775
206,699,319
779,672,533
306,679,189
688,630,748
958,611,200
242,279,204
865,842,186
42,886,420
612,159,877
380,843,934
157,743,993
435,296,921
115,405,262
43,134,325
411,530,86
231,470,315
482,282,492
846,867,721
660,507,986
134,7,918
988,762,689
963,889,978
437,449,623
507,549,626
677,75,439
642,32,244
234,255,27
442,854,993
592,89,915
762,695,295
499,782,705
512,114,580
523,539,880
155,891,654
262,67,506
896,437,76
106,956,939
339,679,303
163,659,64
569,222,656
460,584,219
952,200,360
534,333,639
217,539,960
800,292,849
191,121,515
534,557,921
24,641,375
797,512,228
385,367,487
595,921,663
37,584,951
638,998,960
718,616,160
986,939,674
64,37,594
895,95,661
214,192,501
131,301,819
827,78,566
619,626,263
285,513,736
0,725,25
82,24,621
207,565,466
888,356,422
720,393,969
687,725,597
723,523,765
348,451,359
583,295,580
674,768,427
443,604,217
906,907,168
391,992,791
726,587,607
397,168,717
19,548,260
276,417,355
491,631,436
65,995,205
542,555,9
227,877,258
934,916,895
576,825,117
655,373,319
90,413,79
396,980,657
298,180,875
340,138,700
590,638,108
335,709,28
491,356,29
983,712,574
258,778,158
181,488,952
922,177,140
161,95,200
287,364,453
858,785,958
384,631,243
243,161,989
873,841,45
318,285,604
730,50,20
140,432,82
176,48,339
407,324,548
251,462,300
78,792,293
958,905,684
286,896,27
508,122,423
55,872,76
120,130,692
212,137,679
737,954,138
443,875,461
934,245,693
753,955,812
502,361,644
138,966,768
498,680,416
557,717,851
823,100,886
389,805,27
751,317,521
860,62,47
907,315,603
405,296,940
966,72,993
478,735,602
352,510,227
999,62,385
290,110,672
701,76,438
862,250,366
749,672,505
662,760,29
951,38,288
315,508,1000
759,465,339
921,692,833
264,153,111
452,32,895
156,883,766
379,766,645
88,471,786
334,452,666
222,154,717
819,352,816
469,365,789
535,495,958
695,564,204
560,560,999
491,524,557
264,60,577
25,363,869
621,690,517
92,732,915
683,567,57
406,626,269
860,952,267
